Date,Open,High,Low,Close,Adj Close,Volume
2017-07-04,19300.000000,19350.000000,19000.000000,19050.000000,15642.837891,33855
2017-07-05,19100.000000,19200.000000,18950.000000,19050.000000,15642.837891,36530
2017-07-06,19150.000000,19150.000000,18950.000000,19050.000000,15642.837891,18506
2017-07-07,19000.000000,19050.000000,18850.000000,18900.000000,15519.669922,45378
2017-07-10,18900.000000,19050.000000,18850.000000,19000.000000,15601.779297,34396
2017-07-11,19000.000000,19050.000000,18750.000000,18800.000000,15437.554688,53639
2017-07-12,18750.000000,18850.000000,18650.000000,18700.000000,15355.434570,33741
2017-07-13,18700.000000,19000.000000,18550.000000,18900.000000,15519.669922,103914
2017-07-14,18900.000000,19000.000000,18850.000000,19000.000000,15601.779297,66689
2017-07-17,19000.000000,19100.000000,18900.000000,19100.000000,15683.898438,52770
2017-07-18,19100.000000,19500.000000,18900.000000,19400.000000,15930.241211,105891
2017-07-19,19400.000000,19600.000000,19350.000000,19500.000000,16012.356445,57854
2017-07-20,19300.000000,19700.000000,19300.000000,19600.000000,16094.469727,63628
2017-07-21,19600.000000,19600.000000,19200.000000,19350.000000,15889.182617,66618
2017-07-24,19300.000000,19550.000000,19150.000000,19150.000000,15724.952148,53133
2017-07-25,19300.000000,19350.000000,19100.000000,19300.000000,15848.125000,57768
2017-07-26,19400.000000,19400.000000,19000.000000,19200.000000,15766.012695,50816
2017-07-27,19300.000000,19300.000000,19100.000000,19200.000000,15766.012695,23210
2017-07-28,19100.000000,19200.000000,18950.000000,19050.000000,15642.837891,32910
2017-07-31,18950.000000,19050.000000,18900.000000,19000.000000,15601.779297,22805
2017-08-01,19100.000000,19450.000000,19050.000000,19300.000000,15848.125000,89272
2017-08-02,19300.000000,19350.000000,19250.000000,19250.000000,15807.070313,20735
2017-08-03,19250.000000,19450.000000,18950.000000,18950.000000,15560.725586,35388
2017-08-04,19100.000000,19150.000000,18900.000000,18950.000000,15560.725586,28349
2017-08-07,19000.000000,19200.000000,18900.000000,19150.000000,15724.952148,23864
2017-08-08,19300.000000,19300.000000,18950.000000,19150.000000,15724.952148,26071
2017-08-09,19100.000000,19150.000000,18900.000000,19050.000000,15642.837891,52626
2017-08-10,19000.000000,19100.000000,18850.000000,18900.000000,15519.669922,31608
2017-08-11,18900.000000,18900.000000,18600.000000,18650.000000,15314.379883,56532
2017-08-14,18750.000000,18850.000000,18650.000000,18700.000000,15355.434570,37407
2017-08-16,18700.000000,18900.000000,18650.000000,18650.000000,15314.379883,54175
2017-08-17,18650.000000,18700.000000,18450.000000,18600.000000,15273.322266,112458
2017-08-18,18600.000000,18850.000000,18500.000000,18700.000000,15355.434570,48758
2017-08-21,18700.000000,18850.000000,18500.000000,18650.000000,15314.379883,58669
2017-08-22,18700.000000,18700.000000,18450.000000,18600.000000,15273.322266,208325
2017-08-23,18550.000000,18650.000000,18500.000000,18500.000000,15191.208984,47623
2017-08-24,18600.000000,18600.000000,18400.000000,18500.000000,15191.208984,40667
2017-08-25,18500.000000,18500.000000,18250.000000,18250.000000,14985.922852,59439
2017-08-28,18300.000000,18600.000000,18300.000000,18350.000000,15068.036133,45571
2017-08-29,18300.000000,18300.000000,17700.000000,17950.000000,14739.578125,1261397
2017-08-30,18100.000000,18100.000000,17850.000000,18000.000000,14780.635742,63993
2017-08-31,18050.000000,18250.000000,17950.000000,18250.000000,14985.922852,136230
2017-09-01,18200.000000,18250.000000,18100.000000,18200.000000,14944.864258,45179
2017-09-04,18000.000000,18150.000000,17800.000000,18000.000000,14780.635742,61249
2017-09-05,18000.000000,18000.000000,17800.000000,17850.000000,14657.462891,19178
2017-09-06,17900.000000,17900.000000,17600.000000,17650.000000,14493.234375,43436
2017-09-07,17700.000000,17900.000000,17650.000000,17800.000000,14616.406250,34542
2017-09-08,17850.000000,17850.000000,17550.000000,17600.000000,14452.177734,27883
2017-09-11,17650.000000,17700.000000,17400.000000,17500.000000,14370.061523,25143
2017-09-12,17500.000000,17550.000000,17200.000000,17200.000000,14123.718750,59425
2017-09-13,17200.000000,17200.000000,17000.000000,17050.000000,14000.544922,86777
2017-09-14,17000.000000,17100.000000,16900.000000,17050.000000,14000.544922,39590
2017-09-15,17050.000000,17200.000000,16900.000000,17150.000000,14082.660156,43375
2017-09-18,17050.000000,17450.000000,17050.000000,17300.000000,14205.833984,37381
2017-09-19,17350.000000,17450.000000,17150.000000,17400.000000,14287.949219,22364
2017-09-20,17400.000000,17450.000000,17050.000000,17150.000000,14082.660156,45774
2017-09-21,17100.000000,17150.000000,16700.000000,16700.000000,13713.145508,69600
2017-09-25,15800.000000,15800.000000,15550.000000,15700.000000,12891.998047,78510
2017-09-26,15700.000000,15700.000000,15700.000000,15700.000000,12891.998047,0
2017-09-27,15850.000000,16200.000000,15700.000000,16100.000000,13220.457031,64202
2017-09-28,16200.000000,16200.000000,15900.000000,16050.000000,13179.400391,68145
2017-09-29,16100.000000,16650.000000,16000.000000,16650.000000,13672.087891,96263
2017-10-10,16650.000000,16700.000000,16250.000000,16450.000000,13507.858398,85414
2017-10-11,16450.000000,16700.000000,16300.000000,16700.000000,13713.145508,40788
2017-10-12,16650.000000,16850.000000,16450.000000,16800.000000,13795.259766,60757
2017-10-13,16550.000000,17000.000000,16500.000000,16700.000000,13713.145508,80974
2017-10-16,16600.000000,16850.000000,16550.000000,16850.000000,13836.316406,57768
2017-10-17,16900.000000,16900.000000,16500.000000,16650.000000,13672.087891,51808
2017-10-18,16550.000000,16650.000000,16300.000000,16500.000000,13548.916016,51803
2017-10-19,16400.000000,16500.000000,16150.000000,16250.000000,13343.628906,140829
